SEDE,Direccion,Telefono,Ext,Horario de Atencion,Funcionario Enlace,Correo electronico,Coordenadas
Dirección De Seguridad Alimentaria Y Nutricional,Calle 39 Sur 38 47,3023396,No aplica,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Ana Luisa Jiménez Londoño,ana.jimenez@envigado.gov.co,"(6.1668147, -75.5858965)"
Inspección De Espacio Público,Carrera 43A 38 Sur 48,3394000,4089,Lunes a Viernes de 8:00 a.m.  a 5:00 p.m. en jornada continua.,Maria Isabel Muñoz Ángel,maria.munoz@envigado.gov.co,"(6.1700597, -75.5889532)"
Inspección De Permanencia,Carrera 43A 38 Sur 54,3394000,4462,Lunes a Miércoles de 4:00 p.m. a 12:00 m Jueves a Sábado 6:00 p.m. a 2:00 am. Domingos de 4:00pm a 12:00pm,Carlos Mario Gutierrez Vélez,carlos.gutierrez@envigado.gov.co,"(6.1700597, -75.5889532)"
Inspección De Policía Las Palmas,Alto de las Palmas Kilómetro 18 Contigua a la estación de policía,3860909,No aplica,Lunes a Viernes de 8:00 a.m. a 5:00 p.m. en jornada continua.,Olga Lucia Cardenas Ospina,olga.ospina@envigado.gov.co,"(6.1549562, -75.5376156)"
Inspección Primera De Policía,Carrera 43A 38 Sur 54,3394000,4133,Lunes a Miércoles de 8:00 a.m. a  5:00 p.m. en jornada continua. Jueves y Viernes de 9:00 a.m. a 6:00 p.m.  en jornada continua.,Martha Gloria Morales Ruiz,martha.morales@envigado.gov.co,"(6.1700597, -75.5889532)"
Inspección Segunda,Carrera 43A 38 Sur 54,3394000,4130,Lunes a Miércoles de 8:00 a.m. a  5:00 p.m. en jornada continua. Jueves y Viernes de 9:00 a.m. a 6:00 p.m.  en jornada continua.,Beatriz  Elena Areiza González,beatriz.areiza@envigado.gov.co,"(6.1700597, -75.5889532)"
Inspeccion Sexta,Calle 40 Sur 24F 106,3394000,4712,Lunes a Viernes de 8:00 a.m. a  5:00 p.m. en jornada continua.,Augusto de Jesús Barrera López,augusto.barrera@envigado.gov.co,"(6.1520872, -75.5776474)"
Oficina Asesora De Comunicaciones,Carrera 43 38 Sur 35 Quinto Piso,3394000,4038,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Araceli González Hincapié,araceli.gonzalez@envigado.gov.co,"(6.169799, -75.588265)"
Oficina de Talento Humano y Desarrollo Organizacional,Carrera 43 38A Sur 50 Cuarto piso,3394000,4006,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Nurys de la Hoz Garcia,nurys.delahoz@envigado.gov.co,"(6.168931, -75.588553)"
Parque Cultural La Guayacana,Carrera 27A Sur 27 83,3362181,No aplica,Lunes a Viernes de 6:00 a.m. a 8:00 p.m. Sábados y domingos de 6:00 a.m. a 6:00 p.m. incluyendo los días festivos,Yeison Rendón Guerra,Yeison.Rendon@envigado.gov.co,"(6.17359, -75.572992)"
Punto De Información Turistica Centro Artesanal Caballo De Troya,Kilometro 16 Via las Palmas,4483479,No aplica,Domingo - Domingo 8:00am a 7:00pm,Claudia María Ortiz Ortiz,claudia.ortiz@envigado.gov.co,"(6.154104, -75.533975)"
Punto Vive Digital Dorado,Calle 40H Sur 41 61,3325213,No aplica,Lunes a viernes de 7:00 a.m. a 6:00 m. Jornada continua. Sábados 8:00 a.m. a 12:00 m.,Elizabeth Valladores Restrepo,No tiene,"(6.1654666, -75.5707319)"
Punto Vive Digital San Marcos,Carrera 45A 32 Sur 16,3394000,4772,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Margarita María Taborda,margarita.taborda@envigado.gov.co,"(6.175923, -75.587843)"
Punto Vive Digital Satélite El Escobero,Calle 36D Sur 27 40,3394000,4773,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Luz Dary Castro Jaramillo,luz.castro@envigado.gov.co,"(6.162508, -75.570561)"
Radicación De Documentos,Carrera 43 38 Sur 35 Primer Piso,3394008,No aplica,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Daniel Hernando Mejía Giraldo,daniel.mejia@envigado.gov.co,"(6.169799, -75.588265)"
Secretaria De Bienestar Social Y Comunitario,Carrera 44 38 Sur 18,3394000,4511,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Olga Patricia Castrillón,olga.castrillón@envigado.gov.co,"(6.1704538, -75.5915431)"
Secretaría de Desarrollo Económico,Calle 37 Sur 45B 27,3394000,4687,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Gladis Eugenia  Bedoya Múnera,gladis.bedoya@envigado.gov.co,"(6.172521, -75.5908885)"
Secretaria De Educación Y Cultura,Calle 38 Sur 45A 87,3394000,4128,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Claudia Elena  Orozco Henao,claudia.orozco@envigado.gov.co,"(6.171434, -75.591011)"
Secretaria De Equidad Y Genero,Carrera 44 38 Sur 18,3394000,4501,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Natalia María Agudelo Upegui,natalia.agudelo@envigado.gov.co,"(6.1704538, -75.5728246)"
Secretaría De Hacienda,Carrera 43 38 Sur 35 Tercer Piso,3394000,4024,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Sandra Patricia Saldarriaga Acosta,sandra.saldarriaga@envigado.gov.co,"(6.169799, -75.588265)"
Secretaria De Movilidad,Calle 49 Sur 48 28,3394000,4371,Lunes a Viernes de 8:00 am a 5:00 pm. Jornada continua. Sábados de 8:00 a.m. a 12 m,Ana Cristina Ramírez Mejía,ana.ramirez@envigado.gov.co,"(6.163235, -75.602631)"
Secretaria De Movilidad - Centro Comercial Viva Envigado,Carrera 38 32B Sur 139 Zona Financiera Local 209A,3221184,No aplica,Lunes a Viernes de 8:00 am a 6:00 pm. Jornada continua. Sábados de 8:00 a.m. a 12 m,Maria Nélida Correa Durango,maria.correa@envigado.gov.co,"(6.175228, -75.59239)"
Secretaria De Obras Públicas,Carrera 40 39 Sur 59,3394000,4064,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Liliana García,liliana.garcía@envigado.gov.co,"(6.1667556, -75.586658)"
Secretaria De Salud,Calle 39 Sur 39 47,3394000,4041,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Mayra Zapata Molina,mayra.zapata@envigado.gov.co,"(6.167165, -75.5915431)"
Secretaría Del Medio Ambiente Y Desarrollo Rural,Calle 40B Sur 39 24,3394000,4174,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Alina María Franco Alarcón,alina.franco@envigado.gov.co,"(6.1645858, -75.5888424)"
Secretaría General,Carrera 43 38A Sur 50,3394000,4002,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Dalila María Cano Echavarría,dalila.cano@envigado.gov.co,"(6.168931, -75.588553)"
Sisben,Carrera 44 38 Sur 18,3394000,4560,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Piedad Elena Sánchez,piedad.sanchez@envigado.gov.co,"(6.1704538, -75.588343)"
Taller Artesanal,Calle 36 Sur 25 46 Segundo piso,3363586,No aplica,Martes a viernes de 8:00 a.m. a 12:00 m. y de 1:00 p.m. a 5:00 p.m. y sábados de 8:00 a.m. a 12:00 m.,Liliana María Sánchez Arce,liliana.sanchez@envigado.gov.co,"(6.1704538, -75.588343)"
Teatro Municipal De Envigado,Carrera 43A 38 Sur 30,3394000,4330,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Juan Mauricio Gómez Herrera,juan.gomez@envigado.gov.co,"(6.167354, -75.565698)"
Tesorería,Carrera 43 38 Sur 35 Segundo Piso,3394008,4012,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Liliam Parra Diaz,liliam.parra@envigado.gov.co,"(6.169799, -75.588265)"
Viga House,Calle 38 Sur 36 12,3320807,No aplica,Lunes a Jueves de 8:00 a.m. a 1:00 y de 2:00 p.m. a 6:00 p.m. Viernes de 8:00 a.m. a 12:00 m. y de 1:00 p.m. a 5:00 p.m.,Margarita María Restrepo Restrepo,margarita.restrepo@envigado.gov.co,"(6.169554, -75.5875847)"
Vivero El Salado,Carrera 25 39D Sur 30,3394000,4282,Viernes de 6:00 a.m. a 3:00 p.m.,Yeison Rendón Guerra,Yeison.Rendon@envigado.gov.co,"(6.1534848, -75.586658)"
Vivero Parque Lineal Ambiental La Heliodora,Calle 41B Sur 34 29,3394000,4282,Viernes de 6:00 a.m. a 3:00 p.m.,Yeison Rendón Guerra,Yeison.Rendon@envigado.gov.co,"(6.1608871, -75.590425)"
Vivero Secretaria De Medio Ambiente Y Desarrollo Agropecuario,Calle 40B Sur 39 24,3394000,4282,Viernes de 6:00 a.m. a 3:00 p.m.,Yeison Rendón Guerra,Yeison.Rendon@envigado.gov.co,"(6.1645858, -75.572998)"
