RADICADO,FECHA,HORA,DÍA DE LA SEMANA,CLASE DE VEHICULO,TIPO DE SERVICIO,TIPO DE VICTIMA,SEXO,ESTADO DE BEODEZ,RESULTADO DE BEODEZ,GRAVEDAD,CLASE DE ACCIDENTE,CAUSA,DIRECCIÓN,BARRIO,AREA,Coordenadas
2180002,01/01/2018,8:30 p.m.,Lunes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Tramo 12 Kilometro  0,Vereda Palmas,Rural,
2180003,02/01/2018,10:02 a.m.,Martes,Motocicleta,Particular,Motociclista,Femenino,No,Sin Registro,Solo Daños,Choque,Adelantar en zona prohibida,Calle 27 D Sur Carrera 27,El Esmeraldal,Urbana,"(6.169224506, -75.57173816)"
2180003,02/01/2018,10:02 a.m.,Martes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Adelantar en zona prohibida,Calle 27 D Sur Carrera 27,El Esmeraldal,Urbana,"(6.169224506, -75.57173816)"
2180014,02/01/2018,7:15 p.m.,Martes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Tramo 372 Kilometro  12,Vereda Palmas,Rural,
2180014,02/01/2018,7:15 p.m.,Martes,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Tramo 372 Kilometro  12,Vereda Palmas,Rural,
2180017,02/01/2018,8:10 p.m.,Martes,Tractocamion,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Carrera 48 Calle 39  Sur,Las Vegas,Urbana,"(6.17163722, -75.59364999)"
2180017,02/01/2018,8:10 p.m.,Martes,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Carrera 48 Calle 39  Sur,Las Vegas,Urbana,"(6.17163722, -75.59364999)"
2180015,02/01/2018,3:30 p.m.,Martes,Campero,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Transitar entre vehiculos,Calle 38  Sur Carrera 45 A,Alcala,Urbana,"(6.17126287, -75.59030689)"
2180015,02/01/2018,3:30 p.m.,Martes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Transitar entre vehiculos,Calle 38  Sur Carrera 45 A,Alcala,Urbana,"(6.17126287, -75.59030689)"
2180120,01/15/2018,1:20 p.m.,Lunes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Girar bruscamente,Carrera 50 Calle 30  Sur,Las Vegas,Urbana,
2180015,02/01/2018,3:30 p.m.,Martes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Transitar entre vehiculos,Calle 38  Sur Carrera 45 A,Alcala,Urbana,"(6.17126287, -75.59030689)"
2180015,02/01/2018,3:30 p.m.,Martes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Transitar entre vehiculos,Calle 38  Sur Carrera 45 A,Alcala,Urbana,"(6.17126287, -75.59030689)"
2180013,02/01/2018,1:30 p.m.,Martes,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Tramo 372 Kilometro  12,Vereda Palmas,Rural,
2180000,02/01/2018,8:40 p.m.,Martes,Bus,Publico,Conductor,Masculino,No,Sin Registro,Herido,Choque,Desobedecer senales,Calle 37  Sur Carrera 36,Mesa,Urbana,"(6.168044613, -75.58323697)"
2180000,02/01/2018,8:40 p.m.,Martes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,Desobedecer senales,Calle 37  Sur Carrera 36,Mesa,Urbana,"(6.168044613, -75.58323697)"
2180007,02/01/2018,12:40 a.m.,Martes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 48 Calle 34 B Sur,Las Vegas,Urbana,"(6.175414344, -75.59078218)"
2180007,02/01/2018,12:40 a.m.,Martes,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 48 Calle 34 B Sur,Las Vegas,Urbana,"(6.175414344, -75.59078218)"
2173901,02/01/2018,10:50 p.m.,Martes,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Herido,Choque,Desobedecer senales,Transversal 34 C Sur Diagonal 32,Los Naranjos,Urbana,"(6.172231013, -75.58126809)"
2173901,02/01/2018,10:50 p.m.,Martes,Motocicleta,Diplomatico,Motociclista,Masculino,No,Sin Registro,Herido,Choque,Desobedecer senales,Transversal 34 C Sur Diagonal 32,Los Naranjos,Urbana,"(6.172231013, -75.58126809)"
2173901,02/01/2018,10:50 p.m.,Martes,Motocicleta,Particular,Motociclista,Femenino,No,Sin Registro,Herido,Choque,Desobedecer senales,Transversal 34 C Sur Diagonal 32,Los Naranjos,Urbana,"(6.172231013, -75.58126809)"
2180008,03/01/2018,9:00 a.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,Impericia en el manejo,Transversal 34  Sur Diagonal 31 E,Las Flores,Urbana,"(6.173807152, -75.58108329)"
2180008,03/01/2018,9:00 a.m.,Miércoles,Motocicleta,Particular,Motociclista,Femenino,No,Sin Registro,Herido,Choque,Impericia en el manejo,Transversal 34  Sur Diagonal 31 E,Las Flores,Urbana,"(6.173807152, -75.58108329)"
2180018,03/01/2018,9:00 a.m.,Miércoles,Camioneta,Particular,Conductor,Femenino,No,Sin Registro,Herido,Choque,Impericia en el manejo,Calle 36 AA Sur Carrera 25 B,El Chocho,Urbana,"(6.161179912, -75.56513005)"
2180028,03/01/2018,8:10 p.m.,Miércoles,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 50 Calle 25 AA Sur,Las Vegas,Urbana,"(6.18564452, -75.58633891)"
2180432,02/14/2018,5:30 p.m.,Miércoles,Bus,Publico,Conductor,Masculino,No,Sin Registro,Herido,Choque,Impericia en el manejo,Tramo 378 Kilometro  1,El Salado,Rural,
2180038,03/01/2018,2:05 p.m.,Miércoles,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Girar bruscamente,Carrera 43 A Calle 40  Sur,Avenida El Poblado,Urbana,"(6.168044687, -75.59026877)"
2180028,03/01/2018,8:10 p.m.,Miércoles,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 50 Calle 25 AA Sur,Las Vegas,Urbana,"(6.18564452, -75.58633891)"
2180032,03/01/2018,7:20 p.m.,Miércoles,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Choque,No respetar pelacion de interseccion o giros,Carrera 48 Calle 37  Sur,Las Vegas,Urbana,"(6.172859211, -75.59276992)"
2180032,03/01/2018,7:20 p.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,Adelantar cerrando,Carrera 48 Calle 37  Sur,Las Vegas,Urbana,"(6.172859211, -75.59276992)"
2180038,03/01/2018,2:05 p.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Carrera 43 A Calle 40  Sur,Avenida El Poblado,Urbana,"(6.168044687, -75.59026877)"
2180038,03/01/2018,2:05 p.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Girar bruscamente,Carrera 43 A Calle 40  Sur,Avenida El Poblado,Urbana,"(6.168044687, -75.59026877)"
2180032,03/01/2018,7:20 p.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,No respetar pelacion de interseccion o giros,Carrera 48 Calle 37  Sur,Las Vegas,Urbana,"(6.172859211, -75.59276992)"
2180032,03/01/2018,7:20 p.m.,Miércoles,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Choque,Adelantar cerrando,Carrera 48 Calle 37  Sur,Las Vegas,Urbana,"(6.172859211, -75.59276992)"
2180038,03/01/2018,2:05 p.m.,Miércoles,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Carrera 43 A Calle 40  Sur,Avenida El Poblado,Urbana,"(6.168044687, -75.59026877)"
2180039,03/01/2018,2:10 p.m.,Miércoles,Bus,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Frenar bruscamente,Calle 36  Sur Carrera 27 B,El Chocho,Urbana,"(6.167598765, -75.57261582)"
2180039,03/01/2018,2:10 p.m.,Miércoles,Camion,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Calle 36  Sur Carrera 27 B,El Chocho,Urbana,"(6.167598765, -75.57261582)"
2180039,03/01/2018,2:10 p.m.,Miércoles,Camion,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Frenar bruscamente,Calle 36  Sur Carrera 27 B,El Chocho,Urbana,"(6.167598765, -75.57261582)"
2180039,03/01/2018,2:10 p.m.,Miércoles,Bus,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Calle 36  Sur Carrera 27 B,El Chocho,Urbana,"(6.167598765, -75.57261582)"
2180009,03/01/2018,6:30 p.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Adelantar por la derecha,Carrera 36 Calle 38 A Sur,Mesa,Urbana,"(6.166548376, -75.58410147)"
2180009,03/01/2018,6:30 p.m.,Miércoles,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Adelantar por la derecha,Carrera 36 Calle 38 A Sur,Mesa,Urbana,"(6.166548376, -75.58410147)"
2180020,03/01/2018,9:30 p.m.,Miércoles,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Herido,Atropello,Reverso imprudente,Transversal 32 A Sur Diagonal 33,La Magnolia,Urbana,"(6.174957688, -75.58474522)"
2180010,03/01/2018,8:50 a.m.,Miércoles,Campero,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Desobedecer senales,Calle 36 D Sur Carrera 27 G,Vereda El Escobero,Urbana,"(6.162479576, -75.57022257)"
2180010,03/01/2018,8:50 a.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Desobedecer senales,Calle 36 D Sur Carrera 27 G,Vereda El Escobero,Urbana,"(6.162479576, -75.57022257)"
2180019,03/01/2018,11:50 a.m.,Miércoles,Camion,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Carrera 32 B Calle 40 F Sur,Sin Registro,Urbana,"(6.162538385, -75.58471789)"
2180019,03/01/2018,11:50 a.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Carrera 32 B Calle 40 F Sur,Sin Registro,Urbana,"(6.162538385, -75.58471789)"
2180012,03/01/2018,10:50 a.m.,Miércoles,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 25 A Sur Carrera 46,Villa Grande,Urbana,"(6.182479713, -75.58329599)"
2180027,03/01/2018,8:50 a.m.,Miércoles,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Atropello,Cruzar sin observar,Carrera 40 Calle 35  Sur,Zona Centro,Urbana,"(6.170776136, -75.58458325)"
2180027,03/01/2018,8:50 a.m.,Miércoles,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Atropello,Poner en marcha un vehiculo sin precauci,Carrera 40 Calle 35  Sur,Zona Centro,Urbana,"(6.170776136, -75.58458325)"
2180012,03/01/2018,10:50 a.m.,Miércoles,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 25 A Sur Carrera 46,Villa Grande,Urbana,"(6.182479713, -75.58329599)"
2180011,03/01/2018,10:45 p.m.,Miércoles,Camion,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,Embriaguez aparente,Carrera 50 Calle 25 AA Sur,Las Vegas,Urbana,"(6.18564452, -75.58633891)"
2180011,03/01/2018,10:45 p.m.,Miércoles,Motocicleta,Particular,Motociclista,Masculino,Si,2,Herido,Choque,Embriaguez aparente,Carrera 50 Calle 25 AA Sur,Las Vegas,Urbana,"(6.18564452, -75.58633891)"
2180029,04/01/2018,1:00 p.m.,Jueves,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Herido,Choque,Desobedecer senales,Calle 45 B Sur Carrera 42 B,La Paz,Urbana,"(6.163155121, -75.59370839)"
2180022,04/01/2018,8:00 a.m.,Jueves,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 48 Calle 49 D Sur,Las Casitas,Urbana,"(6.162290273, -75.60310503)"
2180022,04/01/2018,8:00 a.m.,Jueves,Bicicleta,Sin Registro,Ciclista,Masculino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 48 Calle 49 D Sur,Las Casitas,Urbana,"(6.162290273, -75.60310503)"
2180021,04/01/2018,6:00 a.m.,Jueves,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Caida Ocupante,Impericia en el manejo,Carrera 50 Calle 23  Sur,Las Vegas,Urbana,
2180029,04/01/2018,1:00 p.m.,Jueves,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Herido,Choque,Desobedecer senales,Calle 45 B Sur Carrera 42 B,La Paz,Urbana,"(6.163155121, -75.59370839)"
2180025,04/01/2018,11:30 a.m.,Jueves,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 45  Sur,La Paz,Urbana,"(6.165116925, -75.59448316)"
2180025,04/01/2018,11:30 a.m.,Jueves,Camioneta,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 45  Sur,La Paz,Urbana,"(6.165116925, -75.59448316)"
2180025,04/01/2018,11:30 a.m.,Jueves,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Herido,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 45  Sur,La Paz,Urbana,"(6.165116925, -75.59448316)"
2180053,06/01/2018,8:50 p.m.,Sábado,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Embriaguez aparente,Calle 25  Sur Carrera 42,Las Orquideas,Urbana,"(6.179561127, -75.57986633)"
2180059,07/01/2018,10:00 p.m.,Domingo,Camioneta,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 38  Sur Carrera 42,Zona Centro,Urbana,"(6.16961293, -75.58738469)"
2180059,07/01/2018,10:00 p.m.,Domingo,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 38  Sur Carrera 42,Zona Centro,Urbana,"(6.16961293, -75.58738469)"
2180056,07/01/2018,6:00 p.m.,Domingo,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,Desobedecer senales,Calle 45 B Sur Carrera 43,La Paz,Urbana,"(6.164485785, -75.59467842)"
2180056,07/01/2018,6:00 p.m.,Domingo,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Desobedecer senales,Calle 45 B Sur Carrera 43,La Paz,Urbana,"(6.164485785, -75.59467842)"
2180058,07/01/2018,5:10 p.m.,Domingo,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 38  Sur,Zona Centro,Urbana,"(6.170421178, -75.58859877)"
2180058,07/01/2018,5:10 p.m.,Domingo,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 38  Sur,Zona Centro,Urbana,"(6.170421178, -75.58859877)"
2180057,07/01/2018,12:45 a.m.,Domingo,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Estacionar sin seguridad,Carrera 45 F Sur Calle 40  Sur,Alcala,Urbana,"(6.168610036, -75.59293556)"
2180057,07/01/2018,12:45 a.m.,Domingo,Camioneta,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Estacionar sin seguridad,Carrera 45 F Sur Calle 40  Sur,Alcala,Urbana,"(6.168610036, -75.59293556)"
2180074,08/01/2018,4:00 p.m.,Lunes,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,Desobedecer senales,Calle 37  Sur Carrera 31,Mesa,Urbana,"(6.166120684, -75.58074061)"
2180074,08/01/2018,4:00 p.m.,Lunes,Campero,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Desobedecer senales,Calle 37  Sur Carrera 31,Mesa,Urbana,"(6.166120684, -75.58074061)"
2180035,08/01/2018,9:20 a.m.,Lunes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,Semaforo en rojo,Carrera 43 A Calle 45  Sur,La Paz,Urbana,"(6.165116925, -75.59448316)"
2180035,08/01/2018,9:20 a.m.,Lunes,Bicicleta,Sin Registro,Ciclista,Masculino,No,Sin Registro,Herido,Choque,Semaforo en rojo,Carrera 43 A Calle 45  Sur,La Paz,Urbana,"(6.165116925, -75.59448316)"
2180075,08/01/2018,10:15 p.m.,Lunes,Motocicleta,Particular,Motociclista,Femenino,No,Sin Registro,Solo Daños,Choque,Embriaguez o droga,Diagonal 31 Transversal 34 E Sur,La Sebastiana,Urbana,"(6.172689669, -75.57882729)"
2180075,08/01/2018,10:15 p.m.,Lunes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Embriaguez o droga,Diagonal 31 Transversal 34 E Sur,La Sebastiana,Urbana,"(6.172689669, -75.57882729)"
2180076,08/01/2018,9:40 p.m.,Lunes,Automovil,Diplomatico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Exceso de velocidad,Tramo 371 Kilometro  4,Vereda El Escobero,Rural,
2180076,08/01/2018,9:40 p.m.,Lunes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Exceso de velocidad,Tramo 371 Kilometro  4,Vereda El Escobero,Rural,
2180073,08/01/2018,4:45 p.m.,Lunes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Calle 40  Sur Carrera 24,El Salado,Urbana,"(6.147263187, -75.57633575)"
2180073,08/01/2018,4:45 p.m.,Lunes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Calle 40  Sur Carrera 24,El Salado,Urbana,"(6.147263187, -75.57633575)"
